value_set_name,value_code,display_name,description,sort_order,valid_from,valid_to,active
contest_status,scheduled,Scheduled,Contest scheduled,1,,,True
contest_status,nominations_closed,Nominations Closed,Nominations closed,2,,,True
contest_status,counting,Counting,Count in progress,3,,,True
contest_status,declared,Declared,Result declared,4,,,True
contest_status,void,Void,Contest legally void,5,,,True
contest_status,cancelled,Cancelled,Contest cancelled,6,,,True
contest_status,superseded,Superseded,Contest record superseded,7,,,True
count_action_type,first_preferences,First Preferences,Initial first-preference count,1,,,True
count_action_type,surplus_distribution,Surplus Distribution,Distribution of an elected candidate surplus,2,,,True
count_action_type,exclusion,Exclusion,Exclusion of one candidate,3,,,True
count_action_type,bulk_exclusion,Bulk Exclusion,Exclusion of multiple candidates,4,,,True
count_action_type,transfer,Transfer,Other official transfer,5,,,True
count_action_type,recount,Recount,Recount step,6,,,True
count_action_type,tie_resolution,Tie Resolution,Official tie resolution,7,,,True
count_action_type,completion,Completion,Count completion,8,,,True
match_status,matched,Matched,Canonical identity verified,1,,,True
match_status,provisional_match,Provisional Match,Likely match awaiting verification,2,,,True
match_status,unmatched,Unmatched,No canonical identity located,3,,,True
match_status,conflict,Conflict,More than one plausible identity,4,,,True
match_status,not_applicable,Not Applicable,Canonical matching does not apply,5,,,True
null_reason,not_applicable,Not Applicable,Field does not apply,1,,,True
null_reason,not_published,Not Published,Source did not publish the field,2,,,True
null_reason,unknown,Unknown,Value is genuinely unknown,3,,,True
null_reason,unavailable,Unavailable,Value cannot currently be obtained,4,,,True
null_reason,suppressed,Suppressed,Value suppressed by the authority,5,,,True
null_reason,not_yet_final,Not Yet Final,Awaiting finalisation,6,,,True
null_reason,source_error,Source Error,Source is defective,7,,,True
null_reason,not_parsed,Not Parsed,Source content has not been parsed,8,,,True
officiality,official,Official,Direct official data,1,,,True
officiality,official_derived,Official Derived,Derived and published by an authority,2,,,True
officiality,politica_derived,Politica Derived,Derived by Politica,3,,,True
officiality,third_party,Third Party,Non-authority data,4,,,True
outcome_type,elected,Elected,Elected,1,,,True
outcome_type,elected_over_quota,Elected Over Quota,Elected after reaching quota,2,,,True
outcome_type,elected_under_quota,Elected Under Quota,Elected without reaching quota,3,,,True
outcome_type,elected_unopposed,Elected Unopposed,Elected without a contested poll,4,,,True
outcome_type,excluded,Excluded,Excluded during the count,5,,,True
