table_schema,table_name,field_name,field_order,field_type,required,primary_key,foreign_key,linked_schema,linked_table,linked_field,value_set_name,definition,null_semantics,validation_rule,introduced_version,deprecated_version,active
audit,validation_issue,validation_issue_id,1,UUID,True,True,False,,,,,Field validation_issue_id in audit.validation_issue.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_issue,validation_run_id,2,UUID,True,False,True,audit,validation_run,validation_run_id,,Field validation_run_id in audit.validation_issue.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_issue,validation_rule_id,3,VARCHAR,True,False,True,audit,validation_rule,validation_rule_id,,Field validation_rule_id in audit.validation_issue.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_issue,severity,4,VARCHAR,True,False,False,,,,,Field severity in audit.validation_issue.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_issue,target_schema,5,VARCHAR,False,False,False,,,,,Field target_schema in audit.validation_issue.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_issue,target_table,6,VARCHAR,False,False,False,,,,,Field target_table in audit.validation_issue.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_issue,target_record_id,7,VARCHAR,False,False,False,,,,,Field target_record_id in audit.validation_issue.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_issue,source_revision_id,8,VARCHAR,False,False,True,provenance,source_file_revision,source_revision_id,,Field source_revision_id in audit.validation_issue.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_issue,source_locator,9,VARCHAR,False,False,False,,,,,Field source_locator in audit.validation_issue.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_issue,issue_message,10,VARCHAR,True,False,False,,,,,Field issue_message in audit.validation_issue.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_issue,observed_value,11,VARCHAR,False,False,False,,,,,Field observed_value in audit.validation_issue.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_issue,expected_value,12,VARCHAR,False,False,False,,,,,Field expected_value in audit.validation_issue.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_issue,resolution_status,13,VARCHAR,True,False,False,,,,,Field resolution_status in audit.validation_issue.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_issue,resolved_at,14,TIMESTAMP WITH TIME ZONE,False,False,False,,,,,Field resolved_at in audit.validation_issue.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_issue,resolved_by,15,VARCHAR,False,False,False,,,,,Field resolved_by in audit.validation_issue.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_issue,resolution_notes,16,VARCHAR,False,False,False,,,,,Field resolution_notes in audit.validation_issue.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_rule,validation_rule_id,1,VARCHAR,True,True,False,,,,,Field validation_rule_id in audit.validation_rule.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_rule,rule_name,2,VARCHAR,True,False,False,,,,,Field rule_name in audit.validation_rule.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_rule,rule_version,3,VARCHAR,True,False,False,,,,,Field rule_version in audit.validation_rule.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_rule,severity,4,VARCHAR,True,False,False,,,,,Field severity in audit.validation_rule.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_rule,scope_schema,5,VARCHAR,False,False,False,,,,,Field scope_schema in audit.validation_rule.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_rule,scope_table,6,VARCHAR,False,False,False,,,,,Field scope_table in audit.validation_rule.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_rule,rule_sql,7,VARCHAR,False,False,False,,,,,Field rule_sql in audit.validation_rule.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_rule,description,8,VARCHAR,True,False,False,,,,,Field description in audit.validation_rule.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_rule,active,9,BOOLEAN,True,False,False,,,,,Field active in audit.validation_rule.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_run,validation_run_id,1,UUID,True,True,False,,,,,Field validation_run_id in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_run,import_run_id,2,UUID,False,False,True,provenance,import_run,import_run_id,,Field import_run_id in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_run,scope_type,3,VARCHAR,True,False,False,,,,,Field scope_type in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_run,scope_id,4,VARCHAR,False,False,False,,,,,Field scope_id in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_run,ruleset_version,5,VARCHAR,True,False,False,,,,,Field ruleset_version in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_run,started_at,6,TIMESTAMP WITH TIME ZONE,True,False,False,,,,,Field started_at in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_run,completed_at,7,TIMESTAMP WITH TIME ZONE,False,False,False,,,,,Field completed_at in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_run,rules_executed,8,INTEGER,True,False,False,,,,,Field rules_executed in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_run,blocker_count,9,INTEGER,True,False,False,,,,,Field blocker_count in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_run,warning_count,10,INTEGER,True,False,False,,,,,Field warning_count in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
audit,validation_run,validation_status,11,VARCHAR,True,False,False,,,,,Field validation_status in audit.validation_run.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,ballot_id,1,UUID,True,True,False,,,,,Field ballot_id in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,ballot_dataset_id,2,UUID,True,False,True,ballot,ballot_dataset,ballot_dataset_id,,Field ballot_dataset_id in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,anonymous_source_key,3,VARCHAR,False,False,False,,,,,Field anonymous_source_key in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,contest_id,4,VARCHAR,False,False,True,core,contest,contest_id,,Field contest_id in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,ballot_channel,5,VARCHAR,False,False,False,,,,,Field ballot_channel in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,ballot_type,6,VARCHAR,False,False,False,,,,,Field ballot_type in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot,formality_status,7,VARCHAR,False,False,False,,,,,Field formality_status in ballot.ballot.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
