year,election_date,election_id,source_tier,aec_event_id,aph_election_id,senate_contested,senate_scope,required_primary_records,aec_house_download_page,aec_senate_download_page,aec_general_download_page,aec_archive_url,aph_election_api,boundary_url,notes
2022,2022-05-21,election_fed_2022_05_21_general,full_tally,27966,404,True,general_election,45,https://results.aec.gov.au/27966/Website/HouseDownloadsMenu-27966-Csv.htm,https://results.aec.gov.au/27966/Website/SenateDownloadsMenu-27966-Csv.htm,https://results.aec.gov.au/27966/Website/GeneralDownloadsMenu-27966-Csv.htm,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=404,https://www.aec.gov.au/Electorates/gis/files/2021-Cwlth_electoral_boundaries_ESRI.zip,
2019,2019-05-18,election_fed_2019_05_18_general,full_tally,24310,403,True,general_election,45,https://results.aec.gov.au/24310/Website/HouseDownloadsMenu-24310-Csv.htm,https://results.aec.gov.au/24310/Website/SenateDownloadsMenu-24310-Csv.htm,https://results.aec.gov.au/24310/Website/GeneralDownloadsMenu-24310-Csv.htm,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=403,https://www.aec.gov.au/electorates/gis/files/national-esri-fe2019.zip,
2016,2016-07-02,election_fed_2016_07_02_general,full_tally,20499,402,True,general_election,46,https://results.aec.gov.au/20499/Website/HouseDownloadsMenu-20499-Csv.htm,https://results.aec.gov.au/20499/Website/SenateDownloadsMenu-20499-Csv.htm,https://results.aec.gov.au/20499/Website/GeneralDownloadsMenu-20499-Csv.htm,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=402,https://www.aec.gov.au/electorates/gis/files/national-midmif-09052016.zip,
2013,2013-09-07,election_fed_2013_09_07_general,full_tally,17496,401,True,general_election,47,https://results.aec.gov.au/17496/Website/HouseDownloadsMenu-17496-csv.htm,https://results.aec.gov.au/17496/Website/SenateDownloadsMenu-17496-csv.htm,https://results.aec.gov.au/17496/Website/GeneralDownloadsMenu-17496-csv.htm,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=401,https://www.aec.gov.au/electorates/gis/files/national-esri-16122011.zip,The original Western Australian Senate result was voided; the 2014 WA Senate election is a separate future case.
2010,2010-08-21,election_fed_2010_08_21_general,full_tally,15508,400,True,general_election,47,https://results.aec.gov.au/15508/Website/HouseDownloadsMenu-15508-csv.htm,https://results.aec.gov.au/15508/Website/SenateDownloadsMenu-15508-csv.htm,https://results.aec.gov.au/15508/Website/GeneralDownloadsMenu-15508-csv.htm,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=400,https://www.aec.gov.au/electorates/gis/files/national-esri-2010.zip,
2007,2007-11-24,election_fed_2007_11_24_general,full_tally,13745,399,True,general_election,47,https://results.aec.gov.au/13745/Website/HouseDownloadsMenu-13745-csv.htm,https://results.aec.gov.au/13745/Website/SenateDownloadsMenu-13745-csv.htm,https://results.aec.gov.au/13745/Website/GeneralDownloadsMenu-13745-csv.htm,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=399,,
2004,2004-10-09,election_fed_2004_10_09_general,full_tally,12246,398,True,general_election,39,https://results.aec.gov.au/12246/results/HouseDownloadsMenu-12246-Csv.htm,https://results.aec.gov.au/12246/results/SenateDownloadsMenu-12246-Csv.htm,https://results.aec.gov.au/12246/results/GeneralDownloadsMenu-12246-Csv.htm,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=398,,
2001,2001-11-10,election_fed_2001_11_10_general,legacy_archive,10822,406,True,general_election,1,,,,https://www.aec.gov.au/About_AEC/Publications/statistics/files/aec-2001-election-statistics.zip,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=406,,
1998,1998-10-03,election_fed_1998_10_03_general,legacy_archive,,240,True,general_election,1,,,,https://www.aec.gov.au/About_AEC/Publications/statistics/files/aec-1993-1996-1998-election-statistics.zip,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=240,,
1996,1996-03-02,election_fed_1996_03_02_general,legacy_archive,,239,True,general_election,1,,,,https://www.aec.gov.au/About_AEC/Publications/statistics/files/aec-1993-1996-1998-election-statistics.zip,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=239,,
1993,1993-03-13,election_fed_1993_03_13_general,legacy_archive,,238,True,general_election,1,,,,https://www.aec.gov.au/About_AEC/Publications/statistics/files/aec-1993-1996-1998-election-statistics.zip,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=238,,
1990,1990-03-24,election_fed_1990_03_24_general,handbook_api,,237,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=237,,
1987,1987-07-11,election_fed_1987_07_11_general,handbook_api,,236,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=236,,
1984,1984-12-01,election_fed_1984_12_01_general,handbook_api,,235,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=235,,
1983,1983-03-05,election_fed_1983_03_05_general,handbook_api,,234,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=234,,
1980,1980-10-18,election_fed_1980_10_18_general,handbook_api,,233,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=233,,
1977,1977-12-10,election_fed_1977_12_10_general,handbook_api,,232,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=232,,
1975,1975-12-13,election_fed_1975_12_13_general,handbook_api,,231,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=231,,
1974,1974-05-18,election_fed_1974_05_18_general,handbook_api,,230,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=230,,
1972,1972-12-02,election_fed_1972_12_02_general,handbook_api,,229,True,casual_vacancy_queensland,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=229,,
1969,1969-10-25,election_fed_1969_10_25_general,handbook_api,,228,True,casual_vacancies_victoria_south_australia,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=228,,
1966,1966-11-26,election_fed_1966_11_26_general,handbook_api,,227,True,casual_vacancies_nsw_victoria_queensland_wa,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=227,,
1963,1963-11-30,election_fed_1963_11_30_general,handbook_api,,226,True,casual_vacancy_queensland,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=226,,
1961,1961-12-09,election_fed_1961_12_09_general,handbook_api,,225,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=225,,
1958,1958-11-22,election_fed_1958_11_22_general,handbook_api,,224,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=224,,
1955,1955-12-10,election_fed_1955_12_10_general,handbook_api,,223,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=223,,
1954,1954-05-29,election_fed_1954_05_29_general,handbook_api,,222,False,none,11,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=222,,
1951,1951-04-28,election_fed_1951_04_28_general,handbook_api,,221,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=221,,
1949,1949-12-10,election_fed_1949_12_10_general,handbook_api,,220,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=220,,
1946,1946-09-28,election_fed_1946_09_28_general,handbook_api,,219,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=219,,
1943,1943-08-21,election_fed_1943_08_21_general,handbook_api,,218,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=218,,
1940,1940-09-21,election_fed_1940_09_21_general,handbook_api,,217,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=217,,
1937,1937-10-23,election_fed_1937_10_23_general,handbook_api,,216,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=216,,
1934,1934-09-15,election_fed_1934_09_15_general,handbook_api,,215,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=215,,
1931,1931-12-19,election_fed_1931_12_19_general,handbook_api,,214,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=214,,
1929,1929-10-12,election_fed_1929_10_12_general,handbook_api,,213,False,none,11,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=213,,
1928,1928-11-17,election_fed_1928_11_17_general,handbook_api,,212,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=212,,
1925,1925-11-14,election_fed_1925_11_14_general,handbook_api,,211,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=211,,
1922,1922-12-16,election_fed_1922_12_16_general,handbook_api,,210,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=210,,
1919,1919-12-13,election_fed_1919_12_13_general,handbook_api,,209,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=209,,
1917,1917-05-05,election_fed_1917_05_05_general,handbook_api,,208,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=208,,
1914,1914-09-05,election_fed_1914_09_05_general,handbook_api,,207,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=207,,
1913,1913-05-31,election_fed_1913_05_31_general,handbook_api,,206,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=206,,
1910,1910-04-13,election_fed_1910_04_13_general,handbook_api,,205,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=205,,
1906,1906-12-12,election_fed_1906_12_12_general,handbook_api,,204,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=204,,
1903,1903-12-16,election_fed_1903_12_16_general,handbook_api,,203,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=203,,
1901,1901-03-29,election_fed_1901_03_29_general,handbook_api,,202,True,general_election,19,,,,,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=202,,State polling occurred on 29 and 30 March; South Australia and Tasmania used multi-member House arrangements under state law.
