year,source_key,source_role,authority,chamber,family,acquisition_type,url,destination,required,notes
1901,aph_election,primary,"Parliament of Australia, Parliamentary Handbook",both,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/Election?electionId=202,data/raw/aph_handbook/1901/aph_election.json,True,
1901,aph_house_candidates,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/Candidates?electionId=202,data/raw/aph_handbook/1901/aph_house_candidates.json,True,
1901,aph_house_divisions,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/Divisions?state=&year=1901,data/raw/aph_handbook/1901/aph_house_divisions.json,True,
1901,aph_house_elected,primary,"Parliament of Australia, Parliamentary Handbook",house,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/MembersElected?year=1901,data/raw/aph_handbook/1901/aph_house_elected.json,True,
1901,aph_senate_candidates,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/SenateCandidates?year=1901,data/raw/aph_handbook/1901/aph_senate_candidates.json,True,
1901,aph_senate_elected,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_endpoint,https://handbookapi.aph.gov.au/api/Elections/SenatorsElected?year=1901,data/raw/aph_handbook/1901/aph_senate_elected.json,True,
1901,aph_senate_state_statistics,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateStateStatistics?state={state}&year=1901,data/raw/aph_handbook/1901/aph_senate_state_statistics__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1901,aph_senate_by_candidate,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByCandidate?state={state}&year=1901,data/raw/aph_handbook/1901/aph_senate_by_candidate__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1901,aph_senate_by_group,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateByGroup?state={state}&year=1901,data/raw/aph_handbook/1901/aph_senate_by_group__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
1901,aph_senate_group_quotas,primary,"Parliament of Australia, Parliamentary Handbook",senate,historical_structured_results,api_template,https://handbookapi.aph.gov.au/api/Elections/SenateGroupQuotas?state={state}&year=1901,data/raw/aph_handbook/1901/aph_senate_group_quotas__template.json,True,"Expand after enumerating states, divisions and polling places from the baseline endpoints."
