table_schema,table_name,field_count,fields
audit,validation_issue,16,"validation_issue_id, validation_run_id, validation_rule_id, severity, target_schema, target_table, target_record_id, source_revision_id, source_locator, issue_message, observed_value, expected_value, resolution_status, resolved_at, resolved_by, resolution_notes"
audit,validation_rule,9,"validation_rule_id, rule_name, rule_version, severity, scope_schema, scope_table, rule_sql, description, active"
audit,validation_run,11,"validation_run_id, import_run_id, scope_type, scope_id, ruleset_version, started_at, completed_at, rules_executed, blocker_count, warning_count, validation_status"
ballot,ballot,10,"ballot_id, ballot_dataset_id, anonymous_source_key, contest_id, ballot_channel, ballot_type, formality_status, above_the_line, preference_count, source_row_locator"
ballot,ballot_dataset,11,"ballot_dataset_id, election_chamber_id, contest_id, source_revision_id, dataset_scope, ballot_channel, anonymisation_method, privacy_notes, schema_version, row_count, record_status"
ballot,ballot_preference,6,"ballot_preference_id, ballot_id, preference_rank, candidacy_id, ballot_group_id, source_marking"
ballot,group_voting_ticket,9,"group_voting_ticket_id, contest_id, ballot_group_id, ticket_number, preference_count, publication_status, source_revision_id, source_locator, record_status"
ballot,group_voting_ticket_preference,6,"group_voting_ticket_preference_id, group_voting_ticket_id, preference_rank, candidacy_id, source_marking, source_locator"
control,adapter_registry,8,"adapter_id, authority_id, adapter_version, config_path, code_version, status, schema_signature_sha256, active"
control,chamber,6,"chamber_id, chamber_code, chamber_name, chamber_type, jurisdiction_scope, active"
control,controlled_value,8,"value_set_name, value_code, display_name, description, sort_order, valid_from, valid_to, active"
control,data_dictionary,18,"table_schema, table_name, field_name, field_order, field_type, required, primary_key, foreign_key, linked_schema, linked_table, linked_field, value_set_name, definition, null_semantics, validation_rule, introduced_version, deprecated_version, active"
control,database_release,7,"release_id, schema_version, release_status, release_started_at, published_at, created_by, notes"
control,election_type,5,"election_type_id, election_type_code, election_type_name, description, active"
control,electoral_authority,6,"authority_id, authority_code, authority_name, jurisdiction_id, website_url, active"
control,electoral_system_version,14,"electoral_system_version_id, system_code, system_name, version_label, jurisdiction_id, valid_from, valid_to, seats_per_contest, preference_expression, quota_method, transfer_method, tie_rule, source_revision_id, notes"
control,jurisdiction,7,"jurisdiction_id, jurisdiction_code, jurisdiction_name, jurisdiction_level, country_code, parent_jurisdiction_id, active"
control,relationship_contract,11,"relationship_id, child_schema, child_table, child_field, parent_schema, parent_table, parent_field, required, relationship_kind, introduced_version, active"
control,schema_version,6,"schema_version, migration_id, applied_at, checksum_sha256, backward_compatible, notes"
core,ballot_group,10,"ballot_group_id, contest_id, official_group_id, group_code, group_label, party_id, ticket_type, ungrouped, publication_status, record_status"
core,ballot_group_membership,5,"ballot_group_membership_id, ballot_group_id, candidacy_id, group_position, membership_role"
core,ballot_position,8,"ballot_position_id, contest_id, candidacy_id, ballot_group_id, column_number, position_number, rotation_context, source_revision_id"
core,candidacy,15,"candidacy_id, contest_id, person_id, party_id, official_candidate_id, ballot_name, ballot_given_names, ballot_family_name, official_party_name, official_party_abbreviation, incumbent_status, nomination_status, match_status, publication_status, record_status"
core,contest,12,"contest_id, election_chamber_id, canonical_constituency_id, official_contest_id, contest_name, vacancies, electoral_system_version_id, contest_status, uncontested, recount_status, publication_status, record_status"
core,contest_constituency_snapshot,11,"contest_constituency_snapshot_id, contest_id, canonical_constituency_id, official_constituency_code, official_constituency_name, constituency_type, boundary_version_id, enrolment, source_revision_id, source_locator, match_status"
core,election,14,"election_id, official_event_id, election_name, election_date, election_year, jurisdiction_id, authority_id, election_type_id, publication_status, contest_status, parent_election_id, record_status, created_at, updated_at"
core,election_chamber,8,"election_chamber_id, election_id, chamber_id, electoral_system_version_id, vacancies, whole_chamber, publication_status, record_status"
core,election_key_date,6,"election_key_date_id, election_id, date_type, date_value, date_status, source_revision_id"
core,election_relationship,5,"election_relationship_id, parent_election_id, child_election_id, relationship_type, notes"
count,count_candidate_total,10,"count_candidate_total_id, count_round_id, candidacy_id, papers_value, votes_value, progressive_total, candidate_count_status, value_status, source_revision_id, source_locator"
count,count_round,13,"count_round_id, contest_id, round_number, round_label, action_type, quota_value, transfer_value, source_calculation_type, source_calculation_value, remarks, publication_status, source_revision_id, source_locator"
count,preference_transfer,10,"preference_transfer_id, count_round_id, from_candidacy_id, to_candidacy_id, papers_value, votes_value, exhausted, value_status, source_revision_id, source_locator"
derived,contest_summary,11,"contest_summary_id, contest_id, publication_snapshot_id, winner_candidacy_id, margin_votes, margin_percentage, turnout_percentage, informality_percentage, publication_status, calculation_version, input_hash"
derived,party_summary,11,"party_summary_id, election_chamber_id, party_id, publication_snapshot_id, votes, vote_share, swing, seats_won, seat_change, calculation_version, input_hash"
derived,preference_flow,13,"preference_flow_id, election_id, contest_id, source_subject_type, source_subject_id, target_subject_type, target_subject_id, flow_basis, papers, votes_value, flow_percentage, calculation_version, input_hash"
geography,boundary_geometry,11,"boundary_geometry_id, boundary_version_id, canonical_constituency_id, official_feature_id, geometry_path, geometry_sha256, geometry_type, bbox_min_x, bbox_min_y, bbox_max_x, bbox_max_y"
geography,boundary_version,10,"boundary_version_id, authority_id, boundary_name, effective_from, effective_to, crs, geometry_format, licence, source_revision_id, record_status"
geography,election_reporting_unit,15,"election_reporting_unit_id, election_id, contest_id, reporting_unit_id, official_reporting_unit_code, official_label, source_reporting_unit_type, reporting_unit_type, address, suburb, postcode, latitude, longitude, match_status, source_revision_id"
geography,reporting_unit,8,"reporting_unit_id, authority_id, official_reporting_unit_code, canonical_name, reporting_unit_type, valid_from, valid_to, record_status"
geography,reporting_unit_parent,4,"reporting_unit_parent_id, child_election_reporting_unit_id, parent_election_reporting_unit_id, hierarchy_type"
provenance,import_run,14,"import_run_id, election_id, adapter_id, adapter_version, started_at, completed_at, import_status, input_file_count, source_row_count, staged_row_count, inserted_row_count, rejected_row_count, code_commit, notes"
provenance,import_run_input,4,"import_run_input_id, import_run_id, source_revision_id, input_role"
provenance,row_lineage,9,"row_lineage_id, target_schema, target_table, target_record_id, source_revision_id, source_locator, import_run_id, transform_run_id, source_row_hash"
provenance,source_file,10,"source_file_id, authority_id, election_id, source_landing_page_id, dataset_title, dataset_family, chamber_code, geographic_scope, logical_status, notes"
provenance,source_file_revision,19,"source_revision_id, source_file_id, revision_number, source_url, original_filename, archive_path, mime_type, encoding, delimiter, compression_type, file_size_bytes, row_count, sha256, source_publication_at, downloaded_at, publication_status, schema_signature_sha256, supersedes_source_revision_id, record_status"
provenance,source_landing_page,10,"source_landing_page_id, authority_id, election_id, page_title, landing_url, archive_url, first_accessed_at, last_verified_at, availability_status, notes"
provenance,transform_run,10,"transform_run_id, import_run_id, transform_name, transform_version, started_at, completed_at, input_row_count, output_row_count, output_hash, transform_status"
publish,publication_snapshot,10,"publication_snapshot_id, snapshot_name, as_of_at, schema_version, approval_status, approved_at, approved_by, source_cutoff_description, snapshot_hash, notes"
publish,publication_snapshot_source_revision,3,"publication_snapshot_source_revision_id, publication_snapshot_id, source_revision_id"
results,contest_outcome,10,"contest_outcome_id, contest_id, candidacy_id, outcome_type, elected_order, declared_at, publication_status, source_revision_id, source_locator, record_status"
results,elected_member,8,"elected_member_id, contest_outcome_id, election_id, contest_id, candidacy_id, person_id, vacancy_number, grand_position_promotion_status"
results,participation_result,15,"participation_result_id, election_id, contest_id, election_reporting_unit_id, vote_type, measure_type, integer_value, decimal_value, value_status, value_basis, publication_status, source_revision_id, source_locator, import_run_id, record_status"
results,vote_result,21,"vote_result_id, election_id, contest_id, election_reporting_unit_id, subject_type, candidacy_id, ballot_group_id, party_id, question_option_code, result_type, vote_type, measure_type, integer_value, decimal_value, value_status, value_basis, publication_status, source_revision_id, source_locator, import_run_id, record_status"
staging,source_record,10,"staging_record_id, import_run_id, source_revision_id, dataset_key, source_locator, source_row_number, source_native_json, mapped_json, mapping_status, source_row_hash"
sync,constituency,27,"constituency_id, constituency_name, constituency_type, jurisdiction, chamber, state_territory, country, election_context, boundary_version, valid_from, valid_to, parent_constituency_id, aliases, legacy_group_id, source_id, source_locator, evidence_status, record_status, audit_status, audited_at, audited_by, superseded_by_constituency_id, notes, official_constituency_code, official_code_status, source_row_hash, grand_synced_at"
sync,external_identifier,12,"external_identifier_id, entity_type, canonical_id, authority_id, external_id_type, external_id_value, valid_from, valid_to, source_revision_id, source_locator, match_status, record_status"
sync,party,16,"party_id, party_name, short_name, abbreviation, aliases, party_family, colour_hex, jurisdiction, country, active, valid_from, valid_to, record_status, audit_status, source_row_hash, grand_synced_at"
sync,person,13,"person_id, full_name, display_name, given_names, family_name, aliases, date_of_birth, country, active, record_status, audit_status, source_row_hash, grand_synced_at"
