official_abbreviation,official_name,affected_staging_rows,observed_value,issue_message,expected_value,resolution_status
"",Animal Justice Party,473,|Animal Justice Party,AEC party label is retained without a canonical Grand Database party match: Animal Justice Party,Canonical party ID or approved no-match,open
"",Australia's Voice,511,|Australia's Voice,AEC party label is retained without a canonical Grand Database party match: Australia's Voice,Canonical party ID or approved no-match,open
"",Australian Christians,195,|Australian Christians,AEC party label is retained without a canonical Grand Database party match: Australian Christians,Canonical party ID or approved no-match,open
"",Australian Democrats,265,|Australian Democrats,AEC party label is retained without a canonical Grand Database party match: Australian Democrats,Canonical party ID or approved no-match,open
"",Australian Labor Party (Northern Territory) Branch,10,|Australian Labor Party (Northern Territory) Branch,AEC party label is retained without a canonical Grand Database party match: Australian Labor Party (Northern Territory) Branch,Canonical party ID or approved no-match,open
"",Citizens Party,470,|Citizens Party,AEC party label is retained without a canonical Grand Database party match: Citizens Party,Canonical party ID or approved no-match,open
"",David Pocock,14,|David Pocock,AEC party label is retained without a canonical Grand Database party match: David Pocock,Canonical party ID or approved no-match,open
"",FUSION,18,|FUSION,AEC party label is retained without a canonical Grand Database party match: FUSION,Canonical party ID or approved no-match,open
"",FUSION ,0,|FUSION | Planet Rescue | Whistleblower Protection | Innovation,AEC party label is retained without a canonical Grand Database party match: FUSION | Planet Rescue | Whistleblower Protection | Innovation,Canonical party ID or approved no-match,open
"",Family First,388,|Family First,AEC party label is retained without a canonical Grand Database party match: Family First,Canonical party ID or approved no-match,open
"",GAP,18,|GAP,AEC party label is retained without a canonical Grand Database party match: GAP,Canonical party ID or approved no-match,open
"",Gerard Rennick People First,204,|Gerard Rennick People First|Katter's Australian Party,AEC party label is retained without a canonical Grand Database party match: Gerard Rennick People First|Katter's Australian Party,Canonical party ID or approved no-match,open
"",Gerard Rennick People First - Heart,41,|Gerard Rennick People First - Heart,AEC party label is retained without a canonical Grand Database party match: Gerard Rennick People First - Heart,Canonical party ID or approved no-match,open
"",Great Australian Party & HEART Party,33,|Great Australian Party & HEART Party,AEC party label is retained without a canonical Grand Database party match: Great Australian Party & HEART Party,Canonical party ID or approved no-match,open
"",HEART/LIBERTARIAN,6,|HEART/LIBERTARIAN,AEC party label is retained without a canonical Grand Database party match: HEART/LIBERTARIAN,Canonical party ID or approved no-match,open
"",Indigenous - Aboriginal Party of Australia,355,|Indigenous - Aboriginal Party of Australia,AEC party label is retained without a canonical Grand Database party match: Indigenous - Aboriginal Party of Australia,Canonical party ID or approved no-match,open
"",Jacqui Lambie Network,290,|Jacqui Lambie Network,AEC party label is retained without a canonical Grand Database party match: Jacqui Lambie Network,Canonical party ID or approved no-match,open
"",LNP,218,|LNP,AEC party label is retained without a canonical Grand Database party match: LNP,Canonical party ID or approved no-match,open
"",Legalise Cannabis Party,555,|Legalise Cannabis Party,AEC party label is retained without a canonical Grand Database party match: Legalise Cannabis Party,Canonical party ID or approved no-match,open
"",Liberal & Nationals,48,|Liberal & Nationals,AEC party label is retained without a canonical Grand Database party match: Liberal & Nationals,Canonical party ID or approved no-match,open
"",Liberal/The Nationals,40,|Liberal/The Nationals,AEC party label is retained without a canonical Grand Database party match: Liberal/The Nationals,Canonical party ID or approved no-match,open
"",Libertarian,465,|Libertarian,AEC party label is retained without a canonical Grand Database party match: Libertarian,Canonical party ID or approved no-match,open
"",Libertarian / HEART / Gerard Rennick People First,49,|Libertarian / HEART / Gerard Rennick People First,AEC party label is retained without a canonical Grand Database party match: Libertarian / HEART / Gerard Rennick People First,Canonical party ID or approved no-match,open
"",NT CLP,10,|NT CLP,AEC party label is retained without a canonical Grand Database party match: NT CLP,Canonical party ID or approved no-match,open
"","Shooters, Fishers and Farmers Party",138,"|Shooters, Fishers and Farmers Party","AEC party label is retained without a canonical Grand Database party match: Shooters, Fishers and Farmers Party",Canonical party ID or approved no-match,open
"",Socialist Alliance,289,|Socialist Alliance,AEC party label is retained without a canonical Grand Database party match: Socialist Alliance,Canonical party ID or approved no-match,open
"",Sustainable Australia Party,18,|Sustainable Australia Party,AEC party label is retained without a canonical Grand Database party match: Sustainable Australia Party,Canonical party ID or approved no-match,open
"",Sustainable Australia Party - Universal Basic Income,465,|Sustainable Australia Party - Universal Basic Income,AEC party label is retained without a canonical Grand Database party match: Sustainable Australia Party - Universal Basic Income,Canonical party ID or approved no-match,open
"",The Greens (WA),18,|The Greens (WA),AEC party label is retained without a canonical Grand Database party match: The Greens (WA),Canonical party ID or approved no-match,open
"",Trumpet of Patriots,639,|Trumpet of Patriots,AEC party label is retained without a canonical Grand Database party match: Trumpet of Patriots,Canonical party ID or approved no-match,open
"",Ungrouped,0,|Ungrouped,AEC party label is retained without a canonical Grand Database party match: Ungrouped,Canonical party ID or approved no-match,open
"",Victorian Socialists,119,|Victorian Socialists,AEC party label is retained without a canonical Grand Database party match: Victorian Socialists,Canonical party ID or approved no-match,open
AJP,AJP,69,AJP|AJP,AEC party label is retained without a canonical Grand Database party match: AJP,Canonical party ID or approved no-match,open
AJP,Animal Justice Party,1984,AJP|Animal Justice Party,AEC party label is retained without a canonical Grand Database party match: Animal Justice Party,Canonical party ID or approved no-match,open
ASP,"Shooters, Fishers and Farmers Party",1170,"ASP|Shooters, Fishers and Farmers Party","AEC party label is retained without a canonical Grand Database party match: Shooters, Fishers and Farmers Party",Canonical party ID or approved no-match,open
AUC,Australian Christians,1079,AUC|Australian Christians,AEC party label is retained without a canonical Grand Database party match: Australian Christians,Canonical party ID or approved no-match,open
AUD,Australian Democrats,359,AUD|Australian Democrats,AEC party label is retained without a canonical Grand Database party match: Australian Democrats,Canonical party ID or approved no-match,open
